Ticket ID,Ticket Subject,Ticket Status,Ticket Priority,Ticket Type
2552,Hardware issue,pending customer response,Critical,technical issue
2553,Delivery problem,open,Low,refund request
2554,Hardware issue,pending customer response,Critical,refund request
2555,Installation support,closed,Critical,billing inquiry
2556,Cancellation request,closed,High,product inquiry
2557,Installation support,closed,High,technical issue
2558,Delivery problem,pending customer response,Critical,billing inquiry
2559,Payment issue,open,Critical,refund request
2560,Battery life,pending customer response,Critical,cancellation request
2561,Product recommendation,pending customer response,Medium,product inquiry
2562,Payment issue,pending customer response,Low,product inquiry
2563,Product setup,pending customer response,Low,refund request
2564,Peripheral compatibility,open,Medium,cancellation request
2565,Refund request,open,High,product inquiry
2566,Hardware issue,pending customer response,Low,cancellation request
2567,Cancellation request,open,Medium,product inquiry
2568,Delivery problem,closed,High,product inquiry
2569,Peripheral compatibility,open,High,billing inquiry
2570,Software bug,pending customer response,High,refund request
2571,Data loss,pending customer response,High,refund request
2572,Delivery problem,pending customer response,Medium,cancellation request
2573,Product compatibility,open,Critical,billing inquiry
2574,Product setup,closed,Critical,refund request
2575,Data loss,open,Medium,product inquiry
2576,Network problem,closed,High,cancellation request
2577,Refund request,open,Low,product inquiry
2578,Battery life,pending customer response,Low,refund request
2579,Account access,pending customer response,High,cancellation request
2580,Data loss,closed,Medium,technical issue
2581,Payment issue,pending customer response,Critical,refund request
2582,Display issue,open,Low,billing inquiry
2583,Peripheral compatibility,open,High,technical issue
2584,Installation support,pending customer response,High,technical issue
2585,Network problem,open,Low,product inquiry
2586,Peripheral compatibility,open,Medium,technical issue
2587,Product setup,closed,Medium,refund request
2588,Delivery problem,closed,Low,refund request
2589,Software bug,closed,Low,refund request
2590,Refund request,closed,Medium,product inquiry
2591,Product compatibility,closed,Low,product inquiry
2592,Account access,pending customer response,Low,technical issue
2593,Data loss,pending customer response,Low,refund request
2594,Installation support,pending customer response,Low,product inquiry
2595,Product setup,open,Low,refund request
2596,Peripheral compatibility,pending customer response,High,refund request
2597,Network problem,closed,Low,cancellation request
2598,Display issue,pending customer response,Critical,billing inquiry
2599,Product setup,open,Medium,refund request
2600,Payment issue,pending customer response,Medium,billing inquiry
2601,Delivery problem,open,Medium,refund request
2602,Peripheral compatibility,pending customer response,Medium,product inquiry
2603,Refund request,pending customer response,Medium,cancellation request
2604,Software bug,open,Low,technical issue
2605,Product compatibility,pending customer response,Critical,technical issue
2606,Account access,pending customer response,Low,product inquiry
2607,Data loss,pending customer response,Critical,cancellation request
2608,Installation support,closed,Low,refund request
2609,Product recommendation,pending customer response,Low,refund request
2610,Display issue,closed,Low,cancellation request
2611,Peripheral compatibility,open,Medium,technical issue
2612,Data loss,closed,High,billing inquiry
2613,Software bug,closed,Critical,billing inquiry
2614,Battery life,open,Critical,billing inquiry
2615,Data loss,pending customer response,High,product inquiry
2616,Peripheral compatibility,open,Low,product inquiry
2617,Payment issue,open,High,cancellation request
2618,Payment issue,pending customer response,Critical,cancellation request
2619,Account access,closed,Critical,billing inquiry
2620,Product setup,pending customer response,Critical,billing inquiry
2621,Product recommendation,open,High,billing inquiry
2622,Product setup,closed,Low,product inquiry
2623,Network problem,open,Medium,cancellation request
2624,Account access,pending customer response,Low,cancellation request
2625,Cancellation request,pending customer response,Critical,billing inquiry
2626,Cancellation request,open,Medium,billing inquiry
2627,Peripheral compatibility,pending customer response,High,refund request
2628,Installation support,pending customer response,Low,technical issue
2629,Delivery problem,closed,High,refund request
2630,Cancellation request,closed,Critical,billing inquiry
2631,Display issue,closed,High,product inquiry
2632,Account access,pending customer response,High,technical issue
2633,Cancellation request,open,High,cancellation request
2634,Refund request,open,High,product inquiry
2635,Delivery problem,open,Medium,product inquiry
2636,Software bug,open,Medium,cancellation request
2637,Delivery problem,closed,Medium,billing inquiry
2638,Display issue,closed,Low,refund request
2639,Installation support,closed,Critical,refund request
2640,Product compatibility,open,Low,cancellation request
2641,Battery life,open,High,billing inquiry
2642,Delivery problem,open,High,billing inquiry
2643,Refund request,pending customer response,Low,product inquiry
2644,Installation support,closed,High,billing inquiry
2645,Account access,closed,Medium,product inquiry
2646,Peripheral compatibility,closed,Low,product inquiry
2647,Hardware issue,open,Medium,refund request
2648,Peripheral compatibility,pending customer response,Medium,refund request
2649,Hardware issue,closed,Low,billing inquiry
2650,Product recommendation,closed,High,product inquiry
2651,Product setup,closed,Critical,refund request
2652,Battery life,closed,Critical,refund request
2653,Refund request,open,Medium,technical issue
2654,Peripheral compatibility,pending customer response,High,refund request
2655,Network problem,open,Low,technical issue
2656,Battery life,pending customer response,Low,cancellation request
2657,Cancellation request,closed,Medium,refund request
2658,Payment issue,pending customer response,Low,billing inquiry
2659,Delivery problem,open,Medium,technical issue
2660,Product recommendation,pending customer response,Low,product inquiry
2661,Installation support,closed,High,technical issue
2662,Installation support,closed,Low,cancellation request
2663,Product setup,pending customer response,Low,technical issue
2664,Payment issue,open,Medium,technical issue
2665,Cancellation request,pending customer response,High,technical issue
2666,Product compatibility,pending customer response,Medium,cancellation request
2667,Network problem,open,Low,billing inquiry
2668,Account access,open,High,refund request
2669,Product setup,open,High,technical issue
2670,Account access,pending customer response,Critical,technical issue
2671,Refund request,closed,Medium,cancellation request
2672,Product compatibility,pending customer response,Medium,product inquiry
2673,Battery life,pending customer response,Low,refund request
2674,Product compatibility,closed,Medium,refund request
2675,Battery life,pending customer response,Critical,technical issue
2676,Data loss,open,Medium,technical issue
2677,Cancellation request,open,High,cancellation request
2678,Product setup,open,Low,billing inquiry
2679,Product compatibility,closed,Critical,technical issue
2680,Display issue,closed,Low,product inquiry
2681,Hardware issue,open,Low,cancellation request
2682,Network problem,pending customer response,Critical,product inquiry
2683,Product setup,closed,Medium,product inquiry
2684,Hardware issue,closed,Critical,billing inquiry
2685,Network problem,open,High,technical issue
2686,Installation support,open,High,billing inquiry
2687,Delivery problem,closed,High,billing inquiry
2688,Data loss,pending customer response,High,billing inquiry
2689,Software bug,open,Low,billing inquiry
2690,Network problem,open,Low,technical issue
2691,Product compatibility,open,Low,refund request
2692,Display issue,open,High,cancellation request
2693,Battery life,pending customer response,High,technical issue
2694,Data loss,pending customer response,Medium,cancellation request
2695,Battery life,pending customer response,High,refund request
2696,Payment issue,closed,Medium,cancellation request
2697,Refund request,open,Medium,product inquiry
2698,Installation support,pending customer response,Critical,product inquiry
2699,Battery life,closed,Low,product inquiry
2700,Product compatibility,open,Low,technical issue
2701,Delivery problem,closed,Critical,technical issue
2702,Payment issue,closed,Critical,product inquiry
2703,Peripheral compatibility,closed,Critical,product inquiry
2704,Peripheral compatibility,pending customer response,High,billing inquiry
2705,Display issue,closed,Low,cancellation request
2706,Cancellation request,open,Critical,product inquiry
2707,Refund request,pending customer response,Medium,cancellation request
2708,Refund request,open,Critical,billing inquiry
2709,Hardware issue,open,Low,product inquiry
2710,Product setup,pending customer response,Critical,cancellation request
2711,Payment issue,pending customer response,High,technical issue
2712,Product setup,closed,Medium,billing inquiry
2713,Payment issue,open,Low,refund request
2714,Hardware issue,open,Medium,product inquiry
2715,Software bug,pending customer response,Medium,technical issue
2716,Product recommendation,closed,Low,technical issue
2717,Peripheral compatibility,pending customer response,High,product inquiry
2718,Battery life,closed,Critical,cancellation request
2719,Payment issue,open,Medium,refund request
2720,Display issue,open,Low,billing inquiry
2721,Delivery problem,pending customer response,Low,product inquiry
2722,Peripheral compatibility,open,Medium,product inquiry
2723,Product compatibility,pending customer response,Low,billing inquiry
2724,Account access,open,Medium,technical issue
2725,Data loss,open,High,billing inquiry
2726,Refund request,pending customer response,Medium,technical issue
2727,Payment issue,closed,Medium,product inquiry
2728,Display issue,open,Low,billing inquiry
2729,Refund request,closed,High,product inquiry
2730,Data loss,closed,Low,billing inquiry
2731,Payment issue,pending customer response,Critical,cancellation request
2732,Peripheral compatibility,pending customer response,Medium,refund request
2733,Product compatibility,open,Critical,refund request
2734,Cancellation request,closed,High,billing inquiry
2735,Account access,pending customer response,High,cancellation request
2736,Software bug,pending customer response,Low,product inquiry
2737,Delivery problem,closed,Low,product inquiry
2738,Payment issue,open,Critical,technical issue
2739,Delivery problem,closed,Low,cancellation request
2740,Network problem,closed,Medium,billing inquiry
2741,Payment issue,open,High,billing inquiry
2742,Software bug,closed,Critical,refund request
2743,Payment issue,pending customer response,Critical,product inquiry
2744,Product setup,pending customer response,Low,technical issue
2745,Cancellation request,pending customer response,Medium,billing inquiry
2746,Product compatibility,pending customer response,Critical,product inquiry
2747,Software bug,pending customer response,Medium,billing inquiry
2748,Software bug,open,Low,cancellation request
2749,Product setup,pending customer response,High,product inquiry
2750,Product recommendation,pending customer response,Low,technical issue
2751,Battery life,pending customer response,Critical,refund request
2752,Product compatibility,closed,Low,product inquiry
2753,Account access,closed,Medium,product inquiry
2754,Hardware issue,closed,Low,cancellation request
2755,Data loss,closed,Critical,refund request
2756,Battery life,closed,High,billing inquiry
2757,Network problem,pending customer response,Critical,product inquiry
2758,Account access,pending customer response,Critical,product inquiry
2759,Product setup,pending customer response,Medium,cancellation request
2760,Account access,closed,Medium,product inquiry
2761,Network problem,pending customer response,High,cancellation request
2762,Account access,pending customer response,Critical,billing inquiry
2763,Refund request,closed,High,technical issue
2764,Installation support,pending customer response,Critical,refund request
2765,Peripheral compatibility,pending customer response,Low,technical issue
2766,Account access,pending customer response,Low,product inquiry
2767,Software bug,closed,High,product inquiry
2768,Product compatibility,pending customer response,Medium,product inquiry
2769,Product setup,open,Medium,product inquiry
2770,Peripheral compatibility,open,Critical,technical issue
2771,Installation support,closed,Critical,billing inquiry
2772,Product setup,open,Medium,technical issue
2773,Product recommendation,closed,Critical,technical issue
2774,Software bug,closed,Low,product inquiry
2775,Product recommendation,pending customer response,High,technical issue
2776,Battery life,pending customer response,Low,refund request
2777,Delivery problem,pending customer response,Low,technical issue
2778,Cancellation request,open,Critical,technical issue
2779,Payment issue,pending customer response,Low,technical issue
2780,Software bug,closed,Medium,cancellation request
2781,Cancellation request,closed,High,refund request
2782,Account access,pending customer response,Medium,product inquiry
2783,Display issue,open,Medium,billing inquiry
2784,Product recommendation,closed,High,product inquiry
2785,Account access,pending customer response,High,cancellation request
2786,Product compatibility,open,Critical,billing inquiry
2787,Cancellation request,pending customer response,Critical,product inquiry
2788,Software bug,closed,Critical,product inquiry
2789,Delivery problem,open,Medium,cancellation request
2790,Product compatibility,open,Critical,billing inquiry
2791,Battery life,open,Medium,billing inquiry
2792,Account access,open,Medium,billing inquiry
2793,Payment issue,pending customer response,Critical,product inquiry
2794,Hardware issue,open,Low,product inquiry
2795,Peripheral compatibility,pending customer response,Medium,cancellation request
2796,Hardware issue,closed,High,technical issue
2797,Account access,pending customer response,Medium,billing inquiry
2798,Account access,pending customer response,Low,product inquiry
2799,Network problem,open,High,cancellation request
2800,Battery life,pending customer response,Low,billing inquiry
2801,Data loss,closed,Low,billing inquiry
2802,Peripheral compatibility,closed,Critical,cancellation request
2803,Peripheral compatibility,open,Low,cancellation request
2804,Delivery problem,closed,Medium,cancellation request
2805,Software bug,pending customer response,High,cancellation request
2806,Account access,pending customer response,High,product inquiry
2807,Installation support,pending customer response,Low,product inquiry
2808,Hardware issue,closed,Critical,technical issue
2809,Cancellation request,closed,Critical,technical issue
2810,Hardware issue,closed,Low,product inquiry
2811,Product recommendation,closed,Critical,cancellation request
2812,Product setup,closed,Critical,technical issue
2813,Installation support,open,Low,refund request
2814,Product recommendation,pending customer response,Low,refund request
2815,Product setup,open,Medium,product inquiry
2816,Cancellation request,closed,High,billing inquiry
2817,Network problem,pending customer response,Low,cancellation request
2818,Delivery problem,closed,Low,product inquiry
2819,Peripheral compatibility,closed,Medium,technical issue
2820,Payment issue,open,High,refund request
2821,Hardware issue,closed,Critical,technical issue
2822,Delivery problem,open,High,product inquiry
2823,Product setup,closed,Critical,product inquiry
2824,Software bug,open,Low,product inquiry
2825,Hardware issue,pending customer response,Medium,refund request
2826,Display issue,open,Medium,billing inquiry
2827,Data loss,open,High,refund request
2828,Network problem,open,High,refund request
2829,Battery life,closed,Medium,technical issue
2830,Product recommendation,pending customer response,Low,cancellation request
2831,Product setup,pending customer response,Critical,billing inquiry
2832,Account access,open,Critical,cancellation request
2833,Software bug,closed,Low,technical issue
2834,Account access,pending customer response,Medium,technical issue
2835,Display issue,open,Medium,technical issue
2836,Display issue,pending customer response,Medium,cancellation request
2837,Peripheral compatibility,pending customer response,Medium,billing inquiry
2838,Refund request,pending customer response,Low,refund request
2839,Payment issue,closed,Medium,billing inquiry
2840,Payment issue,closed,High,cancellation request
2841,Battery life,open,Medium,refund request
2842,Network problem,closed,High,cancellation request
2843,Peripheral compatibility,closed,Low,billing inquiry
2844,Installation support,pending customer response,Critical,billing inquiry
2845,Product compatibility,pending customer response,High,technical issue
2846,Delivery problem,closed,High,technical issue
2847,Software bug,open,Critical,technical issue
2848,Account access,closed,High,technical issue
2849,Display issue,pending customer response,High,refund request
2850,Cancellation request,closed,Critical,refund request
2851,Network problem,open,Critical,product inquiry
2852,Battery life,open,Medium,refund request
2853,Network problem,open,Low,technical issue
2854,Product compatibility,closed,Critical,refund request
2855,Payment issue,closed,High,billing inquiry
2856,Hardware issue,open,Medium,technical issue
2857,Data loss,closed,High,technical issue
2858,Product compatibility,open,High,product inquiry
2859,Account access,open,High,cancellation request
2860,Product recommendation,closed,High,technical issue
2861,Software bug,pending customer response,High,technical issue
2862,Network problem,pending customer response,Low,refund request
2863,Battery life,closed,Medium,cancellation request
2864,Network problem,open,Critical,product inquiry
2865,Network problem,pending customer response,High,billing inquiry
2866,Hardware issue,pending customer response,Critical,cancellation request
2867,Payment issue,open,High,refund request
2868,Account access,pending customer response,High,technical issue
2869,Cancellation request,pending customer response,Critical,technical issue
2870,Product compatibility,pending customer response,Critical,billing inquiry
2871,Product recommendation,pending customer response,Critical,refund request
2872,Payment issue,closed,High,product inquiry
2873,Account access,open,Medium,billing inquiry
2874,Refund request,open,High,technical issue
2875,Refund request,closed,Medium,technical issue
2876,Product compatibility,pending customer response,Medium,refund request
2877,Data loss,pending customer response,Medium,refund request
2878,Display issue,closed,Medium,product inquiry
2879,Installation support,pending customer response,Critical,technical issue
2880,Network problem,open,Low,refund request
2881,Hardware issue,closed,Low,billing inquiry
2882,Data loss,open,Low,refund request
2883,Network problem,open,High,product inquiry
2884,Cancellation request,closed,Low,cancellation request
2885,Refund request,open,High,cancellation request
2886,Cancellation request,open,Critical,refund request
2887,Product compatibility,open,High,product inquiry
2888,Software bug,pending customer response,Medium,cancellation request
2889,Data loss,pending customer response,Low,cancellation request
2890,Hardware issue,closed,Critical,refund request
2891,Installation support,pending customer response,Medium,refund request
2892,Software bug,pending customer response,Low,cancellation request
2893,Network problem,closed,High,product inquiry
2894,Payment issue,open,High,billing inquiry
2895,Data loss,pending customer response,Critical,technical issue
2896,Product recommendation,open,Critical,billing inquiry
2897,Data loss,pending customer response,High,cancellation request
2898,Battery life,open,Critical,refund request
2899,Refund request,open,Medium,technical issue
2900,Display issue,pending customer response,High,cancellation request
2901,Account access,closed,Low,product inquiry
2902,Delivery problem,pending customer response,Critical,cancellation request
2903,Delivery problem,pending customer response,High,product inquiry
2904,Peripheral compatibility,closed,Low,billing inquiry
2905,Battery life,closed,Low,refund request
2906,Delivery problem,pending customer response,Critical,product inquiry
2907,Payment issue,pending customer response,Critical,cancellation request
2908,Refund request,pending customer response,Low,technical issue
2909,Product recommendation,closed,High,product inquiry
2910,Hardware issue,open,Low,technical issue
2911,Network problem,closed,Low,technical issue
2912,Refund request,open,Low,technical issue
2913,Battery life,open,Low,technical issue
2914,Data loss,closed,High,cancellation request
2915,Battery life,closed,Low,refund request
2916,Payment issue,pending customer response,High,billing inquiry
2917,Product compatibility,pending customer response,Low,technical issue
2918,Product setup,closed,High,cancellation request
2919,Account access,pending customer response,Critical,product inquiry
2920,Installation support,closed,High,billing inquiry
2921,Data loss,open,High,technical issue
2922,Installation support,closed,Low,billing inquiry
2923,Network problem,pending customer response,Medium,product inquiry
2924,Network problem,open,Low,product inquiry
2925,Cancellation request,pending customer response,Medium,refund request
2926,Cancellation request,open,High,product inquiry
2927,Payment issue,pending customer response,Critical,billing inquiry
2928,Hardware issue,closed,Low,refund request
2929,Battery life,closed,Low,refund request
2930,Peripheral compatibility,closed,High,cancellation request
2931,Installation support,pending customer response,High,technical issue
2932,Hardware issue,pending customer response,High,refund request
2933,Hardware issue,open,High,product inquiry
2934,Account access,closed,High,refund request
2935,Data loss,closed,High,cancellation request
2936,Hardware issue,open,Medium,product inquiry
2937,Product setup,pending customer response,Low,refund request
2938,Network problem,closed,Critical,technical issue
2939,Installation support,closed,Critical,billing inquiry
2940,Cancellation request,open,High,technical issue
2941,Product setup,open,Medium,cancellation request
2942,Cancellation request,pending customer response,High,billing inquiry
2943,Data loss,open,Medium,refund request
2944,Installation support,open,Critical,product inquiry
2945,Network problem,open,Critical,refund request
2946,Peripheral compatibility,open,High,billing inquiry
2947,Network problem,closed,Medium,technical issue
2948,Account access,open,Low,billing inquiry
2949,Network problem,open,Medium,billing inquiry
2950,Payment issue,pending customer response,Medium,refund request
2951,Data loss,pending customer response,Low,cancellation request
2952,Data loss,pending customer response,High,cancellation request
2953,Installation support,pending customer response,High,cancellation request
2954,Cancellation request,pending customer response,Critical,cancellation request
2955,Account access,closed,Low,technical issue
2956,Installation support,closed,High,product inquiry
2957,Cancellation request,open,Low,refund request
2958,Cancellation request,pending customer response,Medium,refund request
2959,Cancellation request,pending customer response,Medium,cancellation request
2960,Product recommendation,open,High,technical issue
2961,Product recommendation,open,Low,technical issue
2962,Refund request,pending customer response,High,refund request
2963,Product setup,pending customer response,Medium,technical issue
2964,Display issue,pending customer response,Medium,billing inquiry
2965,Payment issue,pending customer response,Medium,cancellation request
2966,Payment issue,pending customer response,Low,product inquiry
2967,Refund request,closed,Critical,cancellation request
2968,Account access,closed,Critical,technical issue
2969,Account access,closed,High,product inquiry
2970,Product compatibility,closed,Low,product inquiry
2971,Cancellation request,open,Medium,billing inquiry
2972,Product recommendation,open,Medium,billing inquiry
2973,Delivery problem,pending customer response,Medium,refund request
2974,Account access,pending customer response,Critical,cancellation request
2975,Battery life,closed,High,product inquiry
2976,Installation support,closed,Low,refund request
2977,Data loss,pending customer response,High,technical issue
2978,Display issue,pending customer response,Critical,technical issue
2979,Delivery problem,open,Medium,refund request
2980,Hardware issue,pending customer response,Medium,billing inquiry
2981,Product compatibility,open,High,product inquiry
2982,Cancellation request,pending customer response,Medium,cancellation request
2983,Software bug,pending customer response,Critical,billing inquiry
2984,Data loss,open,Medium,cancellation request
2985,Cancellation request,closed,Critical,billing inquiry
2986,Product compatibility,pending customer response,Low,technical issue
2987,Installation support,open,High,refund request
2988,Software bug,closed,Critical,billing inquiry
2989,Cancellation request,closed,Critical,product inquiry
2990,Display issue,pending customer response,Medium,technical issue
2991,Product recommendation,open,Critical,billing inquiry
2992,Refund request,pending customer response,Medium,billing inquiry
2993,Installation support,closed,Medium,refund request
2994,Refund request,open,Low,product inquiry
2995,Network problem,open,Medium,technical issue
2996,Product compatibility,closed,High,technical issue
2997,Installation support,open,Critical,technical issue
2998,Refund request,pending customer response,High,product inquiry
2999,Hardware issue,pending customer response,Medium,billing inquiry
3000,Hardware issue,closed,Medium,refund request
3001,Battery life,closed,Low,technical issue
3002,Data loss,closed,Medium,product inquiry
3003,Cancellation request,pending customer response,Medium,refund request
3004,Battery life,pending customer response,High,refund request
3005,Installation support,pending customer response,Medium,product inquiry
3006,Refund request,closed,Critical,cancellation request
3007,Product setup,open,Medium,refund request
3008,Cancellation request,closed,Medium,product inquiry
3009,Hardware issue,closed,Low,refund request
3010,Delivery problem,pending customer response,High,product inquiry
3011,Battery life,pending customer response,High,refund request
3012,Payment issue,closed,Medium,refund request
3013,Payment issue,closed,High,product inquiry
3014,Software bug,closed,Critical,technical issue
3015,Data loss,closed,High,refund request
3016,Product compatibility,open,Low,billing inquiry
3017,Hardware issue,open,Critical,refund request
3018,Refund request,open,Critical,billing inquiry
3019,Product recommendation,open,Low,product inquiry
3020,Software bug,closed,High,cancellation request
3021,Product compatibility,pending customer response,Medium,refund request
3022,Installation support,closed,High,cancellation request
3023,Payment issue,closed,Critical,cancellation request
3024,Battery life,open,Low,billing inquiry
3025,Payment issue,pending customer response,Low,billing inquiry
3026,Peripheral compatibility,pending customer response,High,product inquiry
3027,Refund request,open,Critical,cancellation request
3028,Delivery problem,pending customer response,Low,billing inquiry
3029,Product recommendation,open,High,billing inquiry
3030,Network problem,closed,Critical,product inquiry
3031,Product recommendation,closed,High,refund request
3032,Hardware issue,closed,Critical,technical issue
3033,Installation support,pending customer response,High,billing inquiry
3034,Peripheral compatibility,closed,High,refund request
3035,Network problem,closed,Critical,refund request
3036,Installation support,pending customer response,High,product inquiry
3037,Product recommendation,closed,Low,cancellation request
3038,Refund request,open,High,refund request
3039,Battery life,open,Medium,refund request
3040,Delivery problem,pending customer response,Critical,product inquiry
3041,Product recommendation,closed,High,refund request
3042,Product compatibility,closed,Critical,billing inquiry
3043,Data loss,pending customer response,High,product inquiry
3044,Installation support,pending customer response,Medium,product inquiry
3045,Account access,closed,Low,product inquiry
3046,Peripheral compatibility,closed,Medium,product inquiry
3047,Installation support,pending customer response,High,cancellation request
3048,Product compatibility,open,Critical,billing inquiry
3049,Product setup,closed,Critical,refund request
3050,Refund request,open,Low,billing inquiry
3051,Installation support,closed,Medium,technical issue
3052,Peripheral compatibility,open,High,billing inquiry
3053,Product setup,closed,Medium,cancellation request
3054,Peripheral compatibility,pending customer response,Critical,refund request
3055,Payment issue,closed,High,billing inquiry
3056,Delivery problem,pending customer response,Critical,billing inquiry
3057,Installation support,pending customer response,Critical,cancellation request
3058,Cancellation request,open,Critical,technical issue
3059,Payment issue,open,Low,product inquiry
3060,Product setup,closed,Critical,product inquiry
3061,Delivery problem,open,Critical,refund request
3062,Account access,open,Low,cancellation request
3063,Software bug,closed,Low,refund request
3064,Installation support,closed,Medium,cancellation request
3065,Product compatibility,open,Medium,technical issue
3066,Cancellation request,closed,Critical,technical issue
3067,Installation support,closed,Low,refund request
3068,Product compatibility,open,High,product inquiry
3069,Refund request,open,Low,cancellation request
3070,Product compatibility,closed,Critical,product inquiry
3071,Data loss,closed,Critical,billing inquiry
3072,Software bug,pending customer response,Critical,cancellation request
3073,Product compatibility,pending customer response,High,technical issue
3074,Battery life,open,Medium,cancellation request
3075,Product compatibility,closed,Medium,cancellation request
3076,Product compatibility,closed,Critical,product inquiry
3077,Product setup,open,Low,cancellation request
3078,Delivery problem,open,High,refund request
3079,Product compatibility,closed,Low,technical issue
3080,Display issue,pending customer response,Critical,refund request
3081,Hardware issue,closed,High,refund request
3082,Network problem,pending customer response,High,billing inquiry
3083,Peripheral compatibility,open,Critical,product inquiry
3084,Product compatibility,open,Low,refund request
3085,Product recommendation,open,Critical,product inquiry
3086,Product setup,pending customer response,Critical,product inquiry
3087,Account access,open,Medium,refund request
3088,Product setup,pending customer response,Medium,technical issue
3089,Delivery problem,pending customer response,High,refund request
3090,Software bug,pending customer response,Critical,product inquiry
3091,Delivery problem,closed,High,cancellation request
3092,Hardware issue,pending customer response,High,product inquiry
3093,Battery life,open,Medium,cancellation request
3094,Refund request,closed,Critical,technical issue
3095,Software bug,open,Medium,billing inquiry
3096,Product compatibility,open,High,product inquiry
3097,Network problem,open,Medium,refund request
3098,Payment issue,closed,Medium,technical issue
3099,Payment issue,pending customer response,High,billing inquiry
3100,Account access,closed,Medium,refund request
3101,Product setup,open,Medium,cancellation request
3102,Installation support,closed,Medium,refund request
3103,Display issue,pending customer response,Low,refund request
3104,Product compatibility,open,Medium,cancellation request
3105,Payment issue,open,Critical,cancellation request
3106,Product compatibility,closed,Low,product inquiry
3107,Software bug,pending customer response,High,technical issue
3108,Product compatibility,pending customer response,Critical,cancellation request
3109,Network problem,open,Critical,technical issue
3110,Display issue,open,High,refund request
3111,Product recommendation,pending customer response,Medium,refund request
3112,Network problem,open,Low,cancellation request
3113,Refund request,open,Medium,cancellation request
3114,Account access,closed,Critical,refund request
3115,Cancellation request,pending customer response,High,refund request
3116,Product recommendation,closed,Low,product inquiry
3117,Product compatibility,closed,Medium,cancellation request
3118,Display issue,open,High,cancellation request
3119,Battery life,pending customer response,High,refund request
3120,Refund request,open,Medium,technical issue
3121,Product recommendation,pending customer response,Critical,billing inquiry
3122,Battery life,closed,Low,technical issue
3123,Installation support,closed,High,billing inquiry
3124,Refund request,closed,High,technical issue
3125,Delivery problem,pending customer response,Low,product inquiry
3126,Product compatibility,pending customer response,High,billing inquiry
3127,Delivery problem,open,High,billing inquiry
3128,Software bug,open,Critical,cancellation request
3129,Product recommendation,pending customer response,Medium,product inquiry
3130,Peripheral compatibility,pending customer response,Critical,refund request
3131,Cancellation request,closed,Critical,product inquiry
3132,Software bug,closed,High,billing inquiry
3133,Battery life,closed,Medium,refund request
3134,Network problem,pending customer response,Critical,cancellation request
3135,Product compatibility,open,Low,billing inquiry
3136,Cancellation request,pending customer response,High,cancellation request
3137,Payment issue,closed,Critical,billing inquiry
3138,Installation support,closed,Medium,product inquiry
3139,Software bug,open,High,cancellation request
3140,Battery life,open,Critical,product inquiry
3141,Battery life,closed,Medium,product inquiry
3142,Peripheral compatibility,pending customer response,High,technical issue
3143,Display issue,closed,Critical,technical issue
3144,Payment issue,pending customer response,Medium,technical issue
3145,Software bug,closed,High,billing inquiry
3146,Delivery problem,pending customer response,Critical,billing inquiry
3147,Payment issue,closed,High,refund request
3148,Software bug,pending customer response,High,billing inquiry
3149,Delivery problem,pending customer response,Critical,product inquiry
3150,Network problem,open,Medium,technical issue
3151,Product compatibility,pending customer response,High,technical issue
3152,Software bug,closed,High,refund request
3153,Battery life,open,Medium,product inquiry
3154,Software bug,open,Low,refund request
3155,Installation support,closed,Critical,billing inquiry
3156,Installation support,pending customer response,Low,billing inquiry
3157,Product compatibility,closed,High,product inquiry
3158,Product recommendation,closed,High,refund request
3159,Installation support,pending customer response,Medium,technical issue
3160,Peripheral compatibility,open,Low,billing inquiry
3161,Peripheral compatibility,pending customer response,Medium,billing inquiry
3162,Product compatibility,pending customer response,Medium,technical issue
3163,Refund request,open,Medium,technical issue
3164,Product compatibility,open,Medium,billing inquiry
3165,Product setup,pending customer response,High,refund request
3166,Battery life,pending customer response,High,product inquiry
3167,Product recommendation,open,Low,billing inquiry
3168,Cancellation request,pending customer response,Low,product inquiry
3169,Cancellation request,open,High,refund request
3170,Payment issue,pending customer response,High,product inquiry
3171,Cancellation request,closed,Low,technical issue
3172,Data loss,open,High,product inquiry
3173,Hardware issue,closed,Medium,technical issue
3174,Delivery problem,open,Low,cancellation request
3175,Payment issue,open,Critical,refund request
3176,Account access,open,Low,refund request
3177,Battery life,open,Low,product inquiry
3178,Cancellation request,open,Critical,technical issue
3179,Account access,closed,Low,technical issue
3180,Display issue,closed,Critical,billing inquiry
3181,Software bug,open,Medium,billing inquiry
3182,Peripheral compatibility,closed,Low,technical issue
3183,Refund request,closed,High,technical issue
3184,Product setup,pending customer response,Critical,technical issue
3185,Data loss,pending customer response,Low,billing inquiry
3186,Hardware issue,closed,High,cancellation request
3187,Peripheral compatibility,open,Low,billing inquiry
3188,Account access,closed,Critical,technical issue
3189,Refund request,closed,Medium,billing inquiry
3190,Display issue,open,Medium,technical issue
3191,Cancellation request,pending customer response,Low,billing inquiry
3192,Installation support,closed,Low,refund request
3193,Network problem,open,Low,product inquiry
3194,Product compatibility,pending customer response,Critical,technical issue
3195,Battery life,closed,Critical,billing inquiry
3196,Hardware issue,open,High,technical issue
3197,Account access,closed,Critical,technical issue
3198,Cancellation request,closed,High,billing inquiry
3199,Payment issue,open,Medium,cancellation request
3200,Hardware issue,open,Critical,product inquiry
3201,Installation support,pending customer response,High,refund request
